batch_id,product_id,product_name,batch_number,manufacturing_date,expiry_date,quantity_produced,quantity_approved,quantity_rejected,unit_of_measure,facility_id,production_line,status,batch_cost,created_at
BAT-000430,PRD-0035,Spironolactone 25mg,BN-202408-8778,2024-08-12,2027-07-14,89980,89384,596,syringes,FAC-001,PL-21,recalled,81663.85,2024-08-12 18:02:43
BAT-000431,PRD-0039,Adalimumab 40mg,BN-202408-6389,2024-08-24,2026-05-03,434429,426076,8353,ampoules,FAC-002,PL-13,in_production,91527.68,2024-08-24 20:19:58
BAT-000432,PRD-0021,Fluoxetine 20mg,BN-202504-4759,2025-04-27,2027-09-24,436024,427283,8741,syringes,FAC-008,PL-29,qa_review,46184.76,2025-04-27 05:57:12
BAT-000433,PRD-0045,Infliximab 100mg,BN-202509-7493,2025-09-12,2026-12-27,270852,259135,11717,kg,FAC-016,PL-17,in_production,43347.56,2025-09-12 15:59:51
BAT-000434,PRD-0028,Ranitidine 150mg,BN-202406-6889,2024-06-20,2025-12-13,147199,146158,1041,bottles,FAC-009,PL-14,approved,8496.34,2024-06-21 22:13:20
BAT-000435,PRD-0014,Gabapentin 300mg,BN-202504-4562,2025-04-11,2027-04-16,361937,346369,15568,kg,FAC-018,PL-04,in_production,2827.65,2025-04-13 01:14:10
BAT-000436,PRD-0042,Trastuzumab 150mg,BN-202511-3020,2025-11-06,2027-09-30,127313,36496,90817,vials,FAC-018,PL-15,rejected,144071.58,2025-11-07 10:26:39
BAT-000437,PRD-0043,Bevacizumab 400mg,BN-202402-7972,2024-02-01,2026-08-05,386530,379945,6585,vials,FAC-020,PL-02,approved,46258.22,2024-02-02 17:07:07
BAT-000438,PRD-0031,Metoprolol 50mg,BN-202506-2714,2025-06-18,2028-06-06,70648,68685,1963,bottles,FAC-015,PL-22,recalled,21060.78,2025-06-19 03:18:08
BAT-000439,PRD-0015,Hydrochlorothiazide 25mg,BN-202302-9854,2023-02-26,2024-05-27,452856,93933,358923,mL,FAC-009,PL-06,rejected,40536.04,2023-02-27 04:10:42
BAT-000440,PRD-0036,Allopurinol 300mg,BN-202510-9543,2025-10-04,2027-05-23,311584,310251,1333,ampoules,FAC-008,PL-19,approved,118956.14,2025-10-05 03:11:42
BAT-000441,PRD-0008,Losartan 50mg,BN-202509-7420,2025-09-30,2028-08-05,289204,288958,246,vials,FAC-019,PL-07,approved,147519.11,2025-10-02 01:17:08
BAT-000442,PRD-0033,Warfarin 5mg,BN-202303-3748,2023-03-18,2026-03-15,304077,302340,1737,vials,FAC-004,PL-02,approved,122524.04,2023-03-18 17:52:28
BAT-000443,PRD-0012,Azithromycin 500mg,BN-202312-2032,2023-12-24,2025-06-20,467072,466539,533,mL,FAC-015,PL-14,in_production,57220.66,2023-12-24 10:44:47
BAT-000444,PRD-0002,Ibuprofen 200mg,BN-202502-7328,2025-02-28,2027-12-06,313929,30435,283494,capsules,FAC-001,PL-18,rejected,12999.91,2025-02-28 19:44:55
BAT-000445,PRD-0013,Prednisone 10mg,BN-202408-2011,2024-08-01,2026-08-28,418783,409321,9462,ampoules,FAC-018,PL-10,in_production,139319.15,2024-08-03 16:11:41
BAT-000446,PRD-0016,Clopidogrel 75mg,BN-202509-1776,2025-09-22,2026-12-18,310137,303952,6185,kg,FAC-009,PL-14,approved,117564.24,2025-09-24 11:55:36
BAT-000447,PRD-0042,Trastuzumab 150mg,BN-202308-6183,2023-08-03,2025-02-17,166078,164405,1673,capsules,FAC-002,PL-01,approved,30184.08,2023-08-03 20:26:03
BAT-000448,PRD-0030,Clarithromycin 500mg,BN-202409-5570,2024-09-20,2026-03-25,2839,2787,52,syringes,FAC-019,PL-13,approved,65911.46,2024-09-20 05:33:54
BAT-000449,PRD-0022,Duloxetine 30mg,BN-202301-7388,2023-01-31,2026-01-05,25157,24936,221,mL,FAC-009,PL-03,approved,11536.95,2023-02-02 02:41:46
BAT-000450,PRD-0026,Aspirin 100mg,BN-202407-4683,2024-07-30,2026-06-01,455821,452863,2958,bottles,FAC-001,PL-26,in_production,67329.63,2024-07-31 03:42:23
BAT-000451,PRD-0007,Amlodipine 5mg,BN-202409-8691,2024-09-11,2027-06-01,429838,425433,4405,tablets,FAC-017,PL-20,approved,2749.14,2024-09-13 01:12:34
BAT-000452,PRD-0049,Rosuvastatin 10mg,BN-202310-5820,2023-10-30,2026-01-12,221038,219381,1657,vials,FAC-013,PL-18,approved,108979.53,2023-10-31 21:58:43
BAT-000453,PRD-0040,Rituximab 500mg,BN-202409-1252,2024-09-21,2026-03-03,204640,202760,1880,ampoules,FAC-018,PL-14,approved,83925.49,2024-09-22 23:03:15
BAT-000454,PRD-0041,Pembrolizumab 100mg,BN-202505-2190,2025-05-28,2026-09-26,248714,244739,3975,syringes,FAC-001,PL-12,approved,120526.19,2025-05-30 00:47:24
BAT-000455,PRD-0012,Azithromycin 500mg,BN-202407-8446,2024-07-17,2026-10-24,443442,424786,18656,mL,FAC-001,PL-23,in_production,89407.89,2024-07-18 07:25:00
BAT-000456,PRD-0002,Ibuprofen 200mg,BN-202305-6873,2023-05-16,2024-09-27,227289,4283,223006,kg,FAC-017,PL-19,rejected,84080.64,2023-05-16 14:40:50
BAT-000457,PRD-0025,Paracetamol 500mg,BN-202301-7038,2023-01-23,2024-11-27,42240,42235,5,vials,FAC-003,PL-26,approved,69417.33,2023-01-24 17:46:39
BAT-000458,PRD-0033,Warfarin 5mg,BN-202405-5764,2024-05-03,2025-08-31,242471,238728,3743,capsules,FAC-005,PL-16,approved,44871.28,2024-05-04 22:59:17
BAT-000459,PRD-0012,Azithromycin 500mg,BN-202304-3370,2023-04-26,2024-08-01,285064,47568,237496,bottles,FAC-003,PL-20,rejected,107059.13,2023-04-28 00:20:39
BAT-000460,PRD-0009,Simvastatin 40mg,BN-202411-8823,2024-11-07,2026-08-06,93812,92658,1154,syringes,FAC-017,PL-19,qa_review,11630.0,2024-11-08 01:39:22
BAT-000461,PRD-0046,Etanercept 50mg,BN-202402-6678,2024-02-15,2026-02-24,140670,139808,862,bottles,FAC-012,PL-16,qa_review,125099.13,2024-02-15 18:04:43
BAT-000462,PRD-0021,Fluoxetine 20mg,BN-202411-3318,2024-11-06,2027-04-07,67279,64912,2367,vials,FAC-012,PL-16,in_production,124660.43,2024-11-08 20:21:43
BAT-000463,PRD-0037,Insulin Glargine 100U,BN-202301-4597,2023-01-29,2024-03-19,34223,17717,16506,syringes,FAC-014,PL-09,rejected,142620.55,2023-01-30 07:23:35
BAT-000464,PRD-0011,Ciprofloxacin 250mg,BN-202311-8700,2023-11-25,2025-04-12,146985,139903,7082,vials,FAC-017,PL-06,recalled,137971.59,2023-11-26 20:47:43
BAT-000465,PRD-0021,Fluoxetine 20mg,BN-202403-9522,2024-03-10,2025-03-15,31624,30630,994,vials,FAC-006,PL-23,in_production,39641.73,2024-03-12 04:06:10
BAT-000466,PRD-0016,Clopidogrel 75mg,BN-202305-9884,2023-05-20,2024-10-05,221035,214654,6381,syringes,FAC-001,PL-16,in_production,10353.71,2023-05-21 21:46:43
BAT-000467,PRD-0036,Allopurinol 300mg,BN-202509-2903,2025-09-23,2028-09-06,395819,392822,2997,syringes,FAC-001,PL-20,in_production,27111.04,2025-09-24 18:07:24
BAT-000468,PRD-0007,Amlodipine 5mg,BN-202510-2324,2025-10-17,2027-01-13,166142,159140,7002,tablets,FAC-012,PL-08,qa_review,142077.14,2025-10-18 17:23:46
BAT-000469,PRD-0004,Atorvastatin 20mg,BN-202506-8575,2025-06-03,2026-10-20,105652,105384,268,capsules,FAC-014,PL-19,in_production,47429.56,2025-06-03 17:56:30
BAT-000470,PRD-0001,Amoxicillin 500mg,BN-202501-2419,2025-01-21,2026-10-10,476031,85730,390301,bottles,FAC-018,PL-23,rejected,49420.71,2025-01-22 10:51:56
BAT-000471,PRD-0015,Hydrochlorothiazide 25mg,BN-202509-7769,2025-09-30,2027-02-21,419092,411419,7673,ampoules,FAC-014,PL-12,approved,20160.01,2025-10-01 00:23:45
BAT-000472,PRD-0018,Montelukast 10mg,BN-202501-9432,2025-01-03,2026-05-01,217750,216307,1443,vials,FAC-016,PL-07,recalled,120813.64,2025-01-05 00:32:25
BAT-000473,PRD-0006,Lisinopril 10mg,BN-202311-1743,2023-11-28,2025-02-07,19623,19453,170,vials,FAC-012,PL-25,approved,84441.31,2023-11-29 21:19:13
BAT-000474,PRD-0026,Aspirin 100mg,BN-202312-5862,2023-12-11,2026-11-11,97036,93200,3836,ampoules,FAC-012,PL-15,in_production,38777.02,2023-12-12 04:31:18
BAT-000475,PRD-0022,Duloxetine 30mg,BN-202308-5472,2023-08-24,2025-10-27,278841,272196,6645,mL,FAC-002,PL-24,in_production,64675.41,2023-08-24 17:00:07
BAT-000476,PRD-0038,Insulin Lispro 100U,BN-202505-5908,2025-05-01,2026-12-11,377306,370007,7299,ampoules,FAC-018,PL-10,approved,145167.11,2025-05-02 02:11:39
BAT-000477,PRD-0015,Hydrochlorothiazide 25mg,BN-202408-3259,2024-08-17,2027-05-24,446545,439895,6650,tablets,FAC-011,PL-11,approved,8434.41,2024-08-18 14:17:48
BAT-000478,PRD-0018,Montelukast 10mg,BN-202512-6497,2025-12-30,2027-02-19,207293,203615,3678,syringes,FAC-003,PL-12,approved,144157.68,2025-12-31 03:40:12
BAT-000479,PRD-0014,Gabapentin 300mg,BN-202505-1557,2025-05-27,2026-11-30,383303,382985,318,syringes,FAC-011,PL-04,recalled,6854.52,2025-05-28 17:44:03
BAT-000480,PRD-0045,Infliximab 100mg,BN-202404-4826,2024-04-25,2025-05-23,350219,349386,833,capsules,FAC-003,PL-04,approved,69673.61,2024-04-27 03:00:03
BAT-000481,PRD-0025,Paracetamol 500mg,BN-202305-6382,2023-05-28,2026-02-01,361017,356354,4663,bottles,FAC-015,PL-22,in_production,58665.23,2023-05-30 00:42:43
BAT-000482,PRD-0045,Infliximab 100mg,BN-202310-7077,2023-10-03,2025-03-23,333317,320010,13307,ampoules,FAC-011,PL-27,in_production,138027.61,2023-10-03 22:32:28
BAT-000483,PRD-0045,Infliximab 100mg,BN-202305-3215,2023-05-10,2026-04-07,93865,93188,677,vials,FAC-015,PL-29,in_production,47405.18,2023-05-11 17:20:54
BAT-000484,PRD-0023,Tramadol 50mg,BN-202304-1831,2023-04-03,2024-04-12,83789,80368,3421,capsules,FAC-011,PL-04,recalled,50920.46,2023-04-05 10:06:18
BAT-000485,PRD-0012,Azithromycin 500mg,BN-202406-5253,2024-06-23,2027-04-24,360863,16391,344472,kg,FAC-020,PL-11,rejected,5282.6,2024-06-23 21:00:42
BAT-000486,PRD-0003,Metformin 850mg,BN-202502-4133,2025-02-03,2026-05-16,402072,396304,5768,vials,FAC-015,PL-20,approved,82836.31,2025-02-04 17:44:51
BAT-000487,PRD-0046,Etanercept 50mg,BN-202507-4778,2025-07-05,2028-05-25,192971,166321,26650,capsules,FAC-002,PL-01,rejected,147393.79,2025-07-06 03:35:18
BAT-000488,PRD-0044,Nivolumab 240mg,BN-202508-1199,2025-08-24,2027-04-02,160416,154507,5909,ampoules,FAC-019,PL-04,recalled,949.13,2025-08-25 06:21:29
BAT-000489,PRD-0009,Simvastatin 40mg,BN-202302-5656,2023-02-18,2024-09-24,225609,217311,8298,capsules,FAC-003,PL-18,in_production,45333.84,2023-02-20 11:53:48
BAT-000490,PRD-0007,Amlodipine 5mg,BN-202312-3855,2023-12-10,2026-10-09,177585,175060,2525,syringes,FAC-012,PL-25,approved,112631.39,2023-12-11 21:41:46
BAT-000491,PRD-0044,Nivolumab 240mg,BN-202505-7355,2025-05-30,2027-05-13,77812,76332,1480,capsules,FAC-002,PL-02,in_production,61429.78,2025-06-01 06:21:25
BAT-000492,PRD-0037,Insulin Glargine 100U,BN-202506-8020,2025-06-16,2026-06-29,338707,325673,13034,tablets,FAC-003,PL-18,in_production,58335.18,2025-06-17 11:49:32
BAT-000493,PRD-0031,Metoprolol 50mg,BN-202402-8847,2024-02-13,2025-03-29,409050,241459,167591,bottles,FAC-005,PL-23,rejected,133519.63,2024-02-13 18:41:55
BAT-000494,PRD-0043,Bevacizumab 400mg,BN-202310-7143,2023-10-29,2026-06-03,445742,440717,5025,ampoules,FAC-001,PL-01,approved,59198.26,2023-10-30 09:04:51
BAT-000495,PRD-0025,Paracetamol 500mg,BN-202309-3632,2023-09-02,2025-08-09,173014,169443,3571,syringes,FAC-001,PL-03,in_production,74237.93,2023-09-03 04:55:43
BAT-000496,PRD-0021,Fluoxetine 20mg,BN-202402-5683,2024-02-01,2025-06-13,472253,469245,3008,capsules,FAC-015,PL-18,approved,38588.29,2024-02-02 20:57:42
BAT-000497,PRD-0004,Atorvastatin 20mg,BN-202509-3448,2025-09-02,2027-03-12,347812,342058,5754,ampoules,FAC-008,PL-10,approved,49988.98,2025-09-02 10:42:25
BAT-000498,PRD-0005,Omeprazole 40mg,BN-202301-7910,2023-01-24,2024-02-25,300535,289998,10537,tablets,FAC-012,PL-08,in_production,1339.98,2023-01-26 02:56:24
BAT-000499,PRD-0036,Allopurinol 300mg,BN-202410-3481,2024-10-05,2027-03-11,133790,133676,114,capsules,FAC-003,PL-13,qa_review,59191.02,2024-10-05 18:12:28
BAT-000500,PRD-0009,Simvastatin 40mg,BN-202508-8479,2025-08-15,2026-08-21,148634,46081,102553,syringes,FAC-019,PL-18,rejected,118598.18,2025-08-16 19:04:22
BAT-000501,PRD-0029,Doxycycline 100mg,BN-202405-3801,2024-05-17,2026-12-17,452256,449382,2874,mL,FAC-010,PL-06,qa_review,59588.58,2024-05-17 19:39:47
BAT-000502,PRD-0016,Clopidogrel 75mg,BN-202410-3317,2024-10-13,2027-08-31,422583,422306,277,kg,FAC-012,PL-12,qa_review,78338.78,2024-10-13 05:26:41
BAT-000503,PRD-0017,Pantoprazole 40mg,BN-202412-3065,2024-12-18,2027-04-06,467578,444808,22770,tablets,FAC-015,PL-04,in_production,14079.7,2024-12-19 13:30:39
BAT-000504,PRD-0011,Ciprofloxacin 250mg,BN-202312-3964,2023-12-17,2026-12-16,395230,395180,50,ampoules,FAC-014,PL-23,approved,143636.56,2023-12-17 19:49:59
BAT-000505,PRD-0042,Trastuzumab 150mg,BN-202508-9592,2025-08-02,2028-06-08,90609,87721,2888,capsules,FAC-017,PL-19,in_production,136524.19,2025-08-04 10:40:29
BAT-000506,PRD-0001,Amoxicillin 500mg,BN-202512-2743,2025-12-02,2027-12-11,297507,290401,7106,capsules,FAC-017,PL-14,in_production,32109.68,2025-12-03 06:40:38
BAT-000507,PRD-0022,Duloxetine 30mg,BN-202505-6127,2025-05-04,2027-11-18,43757,812,42945,kg,FAC-016,PL-06,rejected,105744.67,2025-05-05 01:21:44
BAT-000508,PRD-0025,Paracetamol 500mg,BN-202505-6565,2025-05-13,2027-10-24,24308,20229,4079,ampoules,FAC-016,PL-18,rejected,114955.39,2025-05-15 14:39:57
BAT-000509,PRD-0039,Adalimumab 40mg,BN-202312-3532,2023-12-02,2025-02-07,288041,283055,4986,kg,FAC-006,PL-26,approved,76605.15,2023-12-03 09:05:46
BAT-000510,PRD-0020,Sertraline 50mg,BN-202303-3754,2023-03-24,2026-01-25,51318,51036,282,kg,FAC-006,PL-01,approved,8569.16,2023-03-26 11:39:30
BAT-000511,PRD-0014,Gabapentin 300mg,BN-202508-4746,2025-08-13,2027-06-10,282361,272117,10244,vials,FAC-005,PL-02,qa_review,38168.32,2025-08-14 04:25:27
BAT-000512,PRD-0018,Montelukast 10mg,BN-202501-9599,2025-01-26,2026-11-07,344321,340007,4314,capsules,FAC-003,PL-14,qa_review,146103.74,2025-01-27 22:55:01
BAT-000513,PRD-0037,Insulin Glargine 100U,BN-202507-3073,2025-07-24,2028-07-20,103908,92181,11727,tablets,FAC-005,PL-02,rejected,95289.56,2025-07-25 00:43:13
BAT-000514,PRD-0018,Montelukast 10mg,BN-202512-3139,2025-12-17,2027-05-18,115828,114754,1074,kg,FAC-016,PL-12,recalled,127647.73,2025-12-17 09:13:58
BAT-000515,PRD-0045,Infliximab 100mg,BN-202306-1678,2023-06-10,2025-02-13,196523,126025,70498,vials,FAC-017,PL-03,rejected,62980.34,2023-06-10 12:53:43
BAT-000516,PRD-0027,Cetirizine 10mg,BN-202401-6643,2024-01-29,2026-03-09,104306,103836,470,ampoules,FAC-015,PL-15,in_production,69210.03,2024-01-30 19:53:04
BAT-000517,PRD-0038,Insulin Lispro 100U,BN-202305-2163,2023-05-30,2026-02-13,282683,280520,2163,tablets,FAC-006,PL-20,qa_review,13904.0,2023-05-31 21:25:01
BAT-000518,PRD-0044,Nivolumab 240mg,BN-202304-1669,2023-04-25,2025-08-17,157519,155029,2490,vials,FAC-019,PL-24,approved,143390.1,2023-04-26 13:56:47
BAT-000519,PRD-0008,Losartan 50mg,BN-202302-9867,2023-02-15,2024-11-10,130992,124915,6077,bottles,FAC-003,PL-20,recalled,58371.36,2023-02-15 18:35:50
BAT-000520,PRD-0010,Levothyroxine 100mcg,BN-202505-2941,2025-05-31,2026-08-22,421195,414543,6652,mL,FAC-016,PL-01,recalled,75412.54,2025-06-01 13:31:36
BAT-000521,PRD-0026,Aspirin 100mg,BN-202505-8544,2025-05-15,2027-05-27,442051,435608,6443,tablets,FAC-013,PL-08,approved,105213.72,2025-05-15 23:10:39
BAT-000522,PRD-0006,Lisinopril 10mg,BN-202506-6925,2025-06-04,2027-11-10,422622,416691,5931,tablets,FAC-010,PL-19,approved,43397.49,2025-06-05 16:22:00
BAT-000523,PRD-0020,Sertraline 50mg,BN-202510-4216,2025-10-16,2026-11-22,232198,228991,3207,bottles,FAC-020,PL-25,approved,28690.39,2025-10-16 17:27:45
BAT-000524,PRD-0037,Insulin Glargine 100U,BN-202410-7175,2024-10-09,2026-09-26,5475,5393,82,vials,FAC-015,PL-07,approved,19856.63,2024-10-09 23:37:59
BAT-000525,PRD-0025,Paracetamol 500mg,BN-202307-2449,2023-07-29,2025-10-15,463455,459606,3849,bottles,FAC-005,PL-09,recalled,32858.1,2023-07-30 08:35:36
BAT-000526,PRD-0043,Bevacizumab 400mg,BN-202308-6252,2023-08-02,2025-07-18,494270,153966,340304,bottles,FAC-005,PL-04,rejected,102037.08,2023-08-03 21:20:13
BAT-000527,PRD-0041,Pembrolizumab 100mg,BN-202303-2607,2023-03-03,2025-08-30,386326,381459,4867,mL,FAC-005,PL-21,approved,36395.26,2023-03-03 20:52:00
BAT-000528,PRD-0046,Etanercept 50mg,BN-202305-7230,2023-05-12,2026-03-15,315984,310392,5592,bottles,FAC-008,PL-07,approved,84175.99,2023-05-13 03:26:09
BAT-000529,PRD-0009,Simvastatin 40mg,BN-202403-1943,2024-03-13,2026-06-27,98863,97498,1365,syringes,FAC-018,PL-08,approved,34124.47,2024-03-14 08:47:06
BAT-000530,PRD-0013,Prednisone 10mg,BN-202302-6993,2023-02-23,2026-01-29,127293,126649,644,kg,FAC-013,PL-01,in_production,56392.38,2023-02-25 21:59:43
BAT-000531,PRD-0018,Montelukast 10mg,BN-202407-5400,2024-07-28,2026-11-18,409085,163493,245592,kg,FAC-011,PL-26,rejected,68302.95,2024-07-30 00:57:15
BAT-000532,PRD-0046,Etanercept 50mg,BN-202402-4930,2024-02-21,2026-12-02,176900,170994,5906,mL,FAC-012,PL-19,qa_review,71092.13,2024-02-22 11:07:41
BAT-000533,PRD-0026,Aspirin 100mg,BN-202408-2041,2024-08-23,2027-04-23,408330,405199,3131,mL,FAC-007,PL-29,approved,42413.4,2024-08-23 21:42:02
BAT-000534,PRD-0012,Azithromycin 500mg,BN-202406-1129,2024-06-17,2026-04-05,194954,186181,8773,syringes,FAC-020,PL-30,in_production,141014.47,2024-06-18 14:34:08
BAT-000535,PRD-0006,Lisinopril 10mg,BN-202406-3336,2024-06-14,2025-12-20,399677,394796,4881,syringes,FAC-012,PL-19,approved,57502.38,2024-06-15 15:08:41
BAT-000536,PRD-0029,Doxycycline 100mg,BN-202310-8425,2023-10-10,2025-02-01,448452,448009,443,bottles,FAC-005,PL-08,qa_review,55507.44,2023-10-12 05:09:23
BAT-000537,PRD-0038,Insulin Lispro 100U,BN-202307-5684,2023-07-04,2025-04-01,96206,95956,250,tablets,FAC-009,PL-21,approved,81897.03,2023-07-04 21:05:37
BAT-000538,PRD-0016,Clopidogrel 75mg,BN-202309-6189,2023-09-02,2025-10-31,429122,419259,9863,bottles,FAC-007,PL-23,in_production,121534.19,2023-09-03 17:47:17
BAT-000539,PRD-0037,Insulin Glargine 100U,BN-202410-4702,2024-10-03,2026-05-16,345869,330865,15004,capsules,FAC-001,PL-01,recalled,80356.61,2024-10-04 20:40:44
BAT-000540,PRD-0047,Dexamethasone 4mg,BN-202307-3736,2023-07-09,2025-11-27,493907,488070,5837,vials,FAC-004,PL-03,approved,55569.87,2023-07-10 23:48:56
BAT-000541,PRD-0029,Doxycycline 100mg,BN-202305-4426,2023-05-24,2025-12-14,148246,147606,640,syringes,FAC-009,PL-24,approved,134491.04,2023-05-25 16:06:16
BAT-000542,PRD-0033,Warfarin 5mg,BN-202412-9160,2024-12-16,2026-09-07,141015,135443,5572,tablets,FAC-004,PL-16,recalled,29502.34,2024-12-17 01:27:02
BAT-000543,PRD-0042,Trastuzumab 150mg,BN-202511-6594,2025-11-17,2026-12-12,363545,360179,3366,vials,FAC-008,PL-29,approved,66984.08,2025-11-18 10:24:28
BAT-000544,PRD-0009,Simvastatin 40mg,BN-202506-7663,2025-06-15,2027-08-29,210875,104876,105999,ampoules,FAC-007,PL-15,rejected,1009.09,2025-06-16 13:28:47
BAT-000545,PRD-0004,Atorvastatin 20mg,BN-202509-6850,2025-09-30,2026-11-16,485966,465346,20620,vials,FAC-015,PL-30,recalled,80782.98,2025-09-30 03:38:44
BAT-000546,PRD-0024,Diclofenac 50mg,BN-202405-1595,2024-05-20,2027-03-15,273180,233901,39279,tablets,FAC-005,PL-16,rejected,128522.06,2024-05-21 02:54:35
BAT-000547,PRD-0047,Dexamethasone 4mg,BN-202307-8587,2023-07-18,2024-09-22,163103,160484,2619,ampoules,FAC-004,PL-14,qa_review,4457.23,2023-07-19 17:03:52
BAT-000548,PRD-0015,Hydrochlorothiazide 25mg,BN-202506-7520,2025-06-10,2028-05-18,416110,408980,7130,capsules,FAC-016,PL-06,in_production,136310.75,2025-06-10 16:45:14
BAT-000549,PRD-0008,Losartan 50mg,BN-202311-3525,2023-11-04,2025-11-25,327334,324459,2875,mL,FAC-006,PL-30,approved,108266.45,2023-11-06 09:17:06
BAT-000550,PRD-0042,Trastuzumab 150mg,BN-202310-5032,2023-10-17,2026-05-28,381766,89500,292266,syringes,FAC-005,PL-24,rejected,56342.57,2023-10-19 08:44:25
BAT-000551,PRD-0023,Tramadol 50mg,BN-202510-3768,2025-10-21,2028-09-19,112782,111567,1215,vials,FAC-015,PL-08,qa_review,105046.92,2025-10-21 16:30:42
BAT-000552,PRD-0034,Furosemide 40mg,BN-202507-6957,2025-07-26,2028-04-08,92386,90033,2353,kg,FAC-008,PL-26,in_production,53428.8,2025-07-26 17:00:00
BAT-000553,PRD-0015,Hydrochlorothiazide 25mg,BN-202410-1569,2024-10-19,2026-12-30,46669,46311,358,kg,FAC-013,PL-03,approved,136156.0,2024-10-20 23:02:25
BAT-000554,PRD-0030,Clarithromycin 500mg,BN-202303-9156,2023-03-12,2025-08-16,99271,98028,1243,capsules,FAC-017,PL-26,approved,24180.04,2023-03-13 07:39:44
BAT-000555,PRD-0025,Paracetamol 500mg,BN-202303-3555,2023-03-01,2024-06-09,8423,8392,31,mL,FAC-004,PL-12,approved,96898.52,2023-03-03 10:09:27
BAT-000556,PRD-0015,Hydrochlorothiazide 25mg,BN-202505-2468,2025-05-17,2028-04-10,294716,169361,125355,kg,FAC-014,PL-30,rejected,106263.99,2025-05-17 23:01:52
BAT-000557,PRD-0035,Spironolactone 25mg,BN-202402-8251,2024-02-06,2026-03-24,251859,246546,5313,bottles,FAC-005,PL-05,qa_review,31868.12,2024-02-06 19:01:40
BAT-000558,PRD-0045,Infliximab 100mg,BN-202308-1276,2023-08-26,2025-01-17,85612,10420,75192,capsules,FAC-020,PL-10,rejected,38436.57,2023-08-26 17:32:21
BAT-000559,PRD-0023,Tramadol 50mg,BN-202505-3527,2025-05-20,2028-04-05,450872,109000,341872,vials,FAC-006,PL-24,rejected,143773.97,2025-05-21 08:15:28
BAT-000560,PRD-0004,Atorvastatin 20mg,BN-202408-4458,2024-08-08,2026-02-11,431468,425938,5530,syringes,FAC-002,PL-29,approved,58746.89,2024-08-10 09:34:59
BAT-000561,PRD-0047,Dexamethasone 4mg,BN-202501-2879,2025-01-13,2026-09-20,35953,34627,1326,tablets,FAC-009,PL-13,recalled,102709.29,2025-01-15 02:31:38
BAT-000562,PRD-0018,Montelukast 10mg,BN-202306-6165,2023-06-12,2025-02-07,4309,4224,85,ampoules,FAC-018,PL-10,approved,115939.45,2023-06-14 03:35:07
BAT-000563,PRD-0036,Allopurinol 300mg,BN-202405-4600,2024-05-18,2025-10-17,8105,6708,1397,mL,FAC-006,PL-13,rejected,99334.22,2024-05-19 15:03:43
BAT-000564,PRD-0019,Escitalopram 10mg,BN-202510-6986,2025-10-28,2027-12-10,121187,119248,1939,mL,FAC-003,PL-11,approved,109709.39,2025-10-29 17:36:11
BAT-000565,PRD-0003,Metformin 850mg,BN-202407-3855,2024-07-15,2026-06-06,132820,132523,297,capsules,FAC-012,PL-03,approved,64503.8,2024-07-17 13:53:40
BAT-000566,PRD-0018,Montelukast 10mg,BN-202304-6606,2023-04-22,2024-07-09,297865,286835,11030,syringes,FAC-014,PL-09,recalled,3027.59,2023-04-24 16:07:59
BAT-000567,PRD-0006,Lisinopril 10mg,BN-202506-6259,2025-06-14,2027-07-03,311601,301920,9681,kg,FAC-018,PL-16,qa_review,53984.03,2025-06-14 15:29:06
BAT-000568,PRD-0004,Atorvastatin 20mg,BN-202501-5155,2025-01-11,2026-01-11,426304,425709,595,vials,FAC-014,PL-06,qa_review,100166.2,2025-01-11 10:49:41
BAT-000569,PRD-0040,Rituximab 500mg,BN-202510-3452,2025-10-09,2028-02-29,51380,51013,367,bottles,FAC-003,PL-07,qa_review,85950.26,2025-10-11 19:24:07
BAT-000570,PRD-0028,Ranitidine 150mg,BN-202508-8436,2025-08-21,2027-10-08,243618,238977,4641,mL,FAC-002,PL-19,approved,143256.21,2025-08-22 21:37:00
BAT-000571,PRD-0014,Gabapentin 300mg,BN-202304-4790,2023-04-26,2024-10-10,224536,220573,3963,capsules,FAC-020,PL-25,approved,28213.46,2023-04-27 11:07:43
BAT-000572,PRD-0042,Trastuzumab 150mg,BN-202408-6556,2024-08-27,2027-07-19,401891,386806,15085,kg,FAC-018,PL-14,in_production,53186.32,2024-08-29 15:00:45
BAT-000573,PRD-0014,Gabapentin 300mg,BN-202509-4326,2025-09-07,2028-08-08,300717,108763,191954,capsules,FAC-020,PL-03,rejected,94679.81,2025-09-08 05:05:15
BAT-000574,PRD-0022,Duloxetine 30mg,BN-202404-6486,2024-04-24,2025-11-02,17188,16892,296,vials,FAC-008,PL-04,approved,22137.39,2024-04-25 02:39:24
BAT-000575,PRD-0008,Losartan 50mg,BN-202506-6719,2025-06-29,2026-09-07,185535,185150,385,kg,FAC-013,PL-09,recalled,148981.5,2025-07-01 00:08:59
BAT-000576,PRD-0041,Pembrolizumab 100mg,BN-202412-1818,2024-12-09,2026-09-25,252625,240977,11648,tablets,FAC-005,PL-14,in_production,145241.35,2024-12-10 18:26:48
BAT-000577,PRD-0026,Aspirin 100mg,BN-202404-8131,2024-04-20,2026-03-02,286608,58060,228548,kg,FAC-013,PL-10,rejected,86073.18,2024-04-22 04:51:29
