branch_id,branch_name,address,city,state,zip_code,country,phone,manager_name,opened_date,branch_type,region,num_employees
BR-0174,Lake Michael Downtown Branch,12055 Chapman Plains Apt. 098,Lake Michael,CT,82269,US,863-956-8470,Austin Ponce,2017-11-09,limited_service,Southeast,49
BR-0175,East Timothy Plaza Branch,6825 Nelson Fields,East Timothy,OH,63224,US,003-831-2280,Jamie Shah,2022-04-09,full_service,Mountain,85
BR-0176,Schroederton Downtown Branch,6330 Shawn Oval,Schroederton,WI,81441,US,011-294-1106,John Mccoy,2005-04-19,full_service,Mountain,80
BR-0177,Lake Zacharyside East Branch,067 Gross Drive Suite 835,Lake Zacharyside,OR,84896,US,938-045-8707,Stephanie Evans,2017-07-22,full_service,Mountain,32
BR-0178,Lake Stephaniechester Main Branch,60359 Lydia Coves Apt. 596,Lake Stephaniechester,WY,25590,US,666-530-0004,Karen Odom,2022-06-24,full_service,Southeast,57
BR-0179,Port Juanside Downtown Branch,94898 Ray Loop Suite 928,Port Juanside,NH,02932,US,742-397-0335,Melissa White,2004-10-08,full_service,Midwest,44
BR-0180,Cindyberg West Branch,211 Holloway Wells Apt. 319,Cindyberg,MN,41639,US,573-790-4792,Emily Spence,2023-10-26,full_service,Northeast,27
BR-0181,North Patrick South Branch,310 Joseph Manors,North Patrick,OR,59474,US,572-029-0056,Kenneth Marsh,2002-09-25,full_service,Southeast,56
BR-0182,Lake Kevinview Main Branch,441 Stephen Hill,Lake Kevinview,NM,75600,US,220-651-9324,Brian Perkins,2012-04-10,limited_service,Midwest,55
BR-0183,Elijahtown Downtown Branch,739 Winters Fords Suite 704,Elijahtown,TX,78311,US,228-212-0670,Jacob Jones,2024-03-08,full_service,Pacific Northwest,34
BR-0184,Mcclainhaven North Branch,131 Alan Landing,Mcclainhaven,OH,58789,US,291-298-9012,Steven Williams,2001-12-02,limited_service,Southeast,65
BR-0185,North Alyssaborough Central Branch,43930 Anthony Meadow Suite 601,North Alyssaborough,PA,87942,US,542-685-8218,Kristina Harris,2014-03-11,digital,West,4
BR-0186,Pamelamouth Gateway Branch,61805 Jordan Landing,Pamelamouth,IL,20629,US,990-259-7638,Laura Atkins,2019-09-04,limited_service,Pacific Northwest,23
BR-0187,Kaiserchester Park Branch,441 Hernandez Brooks,Kaiserchester,NH,34130,US,768-571-8546,Sandra Hoffman,2023-06-12,full_service,Northeast,61
BR-0188,South Gregorymouth Downtown Branch,85182 Parks Oval,South Gregorymouth,NM,19857,US,405-449-5878,Pamela Gomez,2010-07-07,full_service,Pacific Northwest,24
BR-0189,Thomastown Plaza Branch,4978 Barber Circle Apt. 341,Thomastown,ME,93191,US,084-629-0544,Kimberly Gomez,2023-08-02,digital,Southeast,11
BR-0190,Donaldmouth East Branch,0892 Jaime Courts Suite 072,Donaldmouth,FL,45968,US,933-033-2452,Nicole Kelly,2003-07-04,digital,Midwest,12
BR-0191,Lake Jenniferfort Main Branch,7635 Lopez Lane,Lake Jenniferfort,TN,97793,US,979-099-7072,Andrew Mosley,2008-01-01,full_service,West,6
BR-0192,East Craigport Park Branch,59853 Fletcher Meadow Suite 238,East Craigport,ID,23351,US,848-179-2637,Jeremy Ruiz,2011-09-04,full_service,Mountain,58
BR-0193,West Brett South Branch,5486 Willis Manors Suite 245,West Brett,NC,60775,US,651-478-7779,Natalie Dickerson,2022-08-17,limited_service,Mid-Atlantic,55
BR-0194,New Mariahbury South Branch,76229 Victor Common Suite 001,New Mariahbury,UT,99743,US,040-530-7967,Kristina Rogers,2017-04-19,full_service,Southeast,47
BR-0195,New Valeriefort South Branch,904 Johnson Gateway Apt. 848,New Valeriefort,MD,49016,US,343-770-8262,Nicholas Floyd,2011-05-16,full_service,Pacific Northwest,62
BR-0196,Scottstad North Branch,176 Lauren Crescent Apt. 357,Scottstad,AZ,16021,US,139-283-6732,Gary Pearson,2008-07-10,full_service,West,76
BR-0197,Scotthaven Plaza Branch,38673 Tiffany Fields Apt. 584,Scotthaven,SC,04668,US,623-471-1197,Thomas Nguyen,2013-05-27,limited_service,Mid-Atlantic,41
BR-0198,Smithville Central Branch,4098 Tiffany Ports Suite 742,Smithville,ND,94826,US,734-279-1866,James Hernandez,2013-11-24,full_service,Midwest,14
BR-0199,Nancystad South Branch,7042 Mario Alley Apt. 815,Nancystad,WA,22335,US,121-882-4434,Cody Brown,2009-10-03,digital,Northeast,15
BR-0200,East Mariaberg Park Branch,084 Jessica Parkways,East Mariaberg,VT,42968,US,296-706-5264,Benjamin Carter,2004-08-09,full_service,West,29
